id,host_id,property_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,review_scores_rating
9835,33057,House,60,,,,,22,1,365,30,60,90,365,90
10803,38901,Apartment,35,200,803,0,9,15,3,45,4,9,33,213,87
12936,50121,Apartment,159,1253,4452,450,100,28,3,28,10,26,51,326,94
15246,59786,House,50,250,920,200,15,20,2,200,0,0,0,0,94
16760,65090,House,69,400,1900,,15,20,1,90,2,30,60,328,90
38271,164193,Apartment,98,540,,0,0,30,1,14,12,27,57,328,97
41836,182833,House,50,335,1400,,10,20,7,365,0,0,0,0,94
43414,189682,Apartment,100,,,1000,30,25,1,90,5,11,11,11,93
43429,189684,Apartment,98,535,,500,40,0,2,365,7,25,35,310,97
44082,193031,House,60,413,1540,0,29,20,3,730,1,5,35,310,99
47100,212071,Apartment,98,800,,200,80,20,4,30,13,13,18,22,98
50492,50121,Apartment,190,1743,5572,500,110,0,3,28,10,22,44,316,97
51592,190879,Loft,228,1575,5100,250,40,40,2,90,13,39,56,331,99
58055,277353,House,46,320,1150,,,12,2,730,21,28,28,278,85
62606,277353,House,50,300,1000,,,11,2,730,15,23,53,328,84
65432,277353,House,43,300,1100,,,0,2,60,5,32,62,337,81
66754,50121,Apartment,138,1183,4172,450,100,28,3,28,11,19,49,324,95
67211,326880,Apartment,42,,,,,0,2,30,10,30,55,330,95
68036,336319,House,161,,,,,0,5,9,0,0,0,128,98
68411,334095,House,300,,,,,0,1,730,0,0,0,0,
68482,59786,House,140,920,3000,300,50,30,5,365,0,0,0,0,95
69421,347754,Apartment,180,1000,4000,,50,50,2,90,30,60,90,365,100
70004,193031,House,60,343,1260,0,29,0,2,300,27,38,68,343,100
70328,356006,Townhouse,68,385,1500,200,,20,1,14,24,44,74,349,98
71156,318900,Apartment,60,200,800,0,20,20,3,5,0,0,0,0,95
72576,376675,House,120,,,0,0,10,3,31,17,36,63,243,99
74324,390761,Townhouse,228,2437,8648,5503,142,24,30,300,0,0,0,271,96
74548,392505,Apartment,64,,,0,0,0,2,30,0,12,18,283,97
74715,392594,House,48,300,,,,10,2,30,0,0,26,106,94
74959,395864,Townhouse,96,665,,0,30,0,2,31,21,51,76,351,99
76867,410806,Apartment,84,559,,,,20,2,7,30,57,82,172,97
78143,419767,Townhouse,98,600,,0,20,20,2,7,14,37,67,340,95
80986,50121,Apartment,119,1043,3612,450,100,28,3,28,9,10,28,303,86
86369,246509,Apartment,109,700,1900,500,80,25,21,130,10,10,13,180,100
108032,559227,Apartment,140,,,300,60,50,2,16,4,7,21,280,98
111001,569413,Hotel,80,700,2800,138,30,0,2,365,21,48,78,351,74
120487,606393,Guesthouse,90,,,200,70,20,2,365,7,7,7,277,96
126723,628372,House,50,,,100,15,30,1,730,5,35,65,340,93
133617,646383,Apartment,80,,,200,30,30,6,1125,29,59,89,179,95
136510,668249,Apartment,46,156,657,350,35,8,1,730,0,0,0,0,90
144236,699180,Apartment,245,1470,4900,550,110,45,2,730,30,60,90,365,
150729,376675,House,90,,,0,0,10,3,31,3,15,15,104,99
156482,707620,House,205,380,750,500,89,25,2,60,10,27,42,42,97
157427,717024,Guest suite,161,670,2400,,,0,1,1125,22,47,65,340,96
161033,770883,Farm stay,80,450,,,8,0,2,14,16,27,57,332,95
161404,772011,Townhouse,138,,,500,50,20,3,180,5,35,65,65,96
163077,50121,Apartment,138,1113,3892,450,100,28,3,28,14,34,64,339,92
167067,796181,Apartment,46,280,980,,,0,4,730,0,0,1,267,88
171291,503485,Apartment,199,1100,4300,200,90,0,3,30,0,21,21,21,97
173426,804527,House,36,350,,0,18,20,1,7,0,0,0,0,99
189128,668611,House,60,,,250,20,20,1,30,13,43,73,73,97
189293,182833,House,30,,,,10,15,2,20,0,0,0,0,100
189406,913736,Condominium,161,1030,3400,250,0,15,3,90,17,30,60,60,94
189434,913736,Condominium,161,1030,3400,250,0,15,3,90,4,24,54,54,96
210568,1038237,House,58,330,1300,140,20,10,3,1095,0,0,6,6,95
213348,689924,House,71,500,1200,,50,30,3,760,30,60,90,365,93
214565,1107678,House,30,,,,,0,1,28,0,0,0,0,
215787,700065,Apartment,93,750,2250,500,160,0,30,365,7,10,10,254,91
227028,1184368,Apartment,220,1400,3862,150,85,25,2,1125,16,24,51,225,95
227964,1165452,Bed and breakfast,90,550,2320,100,60,0,7,60,28,58,88,363,100
229430,1198300,House,48,300,,100,,0,2,7,0,0,0,0,97
230790,1197236,Bed and breakfast,140,700,2500,,,50,1,28,23,50,78,342,95
232088,1214242,Guesthouse,78,600,2000,250,60,24,4,1825,0,0,0,183,93
232812,950667,Condominium,190,900,2500,200,100,60,2,60,1,1,1,221,83
234407,1227462,Apartment,61,420,,300,,14,1,7,30,60,90,365,95
240410,1260586,Apartment,155,910,3300,,,20,2,760,13,20,33,301,96
241263,1345462,Apartment,90,,,,20,0,1,760,19,47,77,352,98
244872,605990,House,73,,,,,0,1,760,30,60,90,365,
244952,287730,Apartment,125,900,3400,,70,20,1,59,18,48,78,340,94
246337,1292150,House,84,,,,,50,1,7,30,60,90,365,95
247006,538647,House,91,595,,0,0,100,2,90,23,31,61,334,93
247140,1296115,Apartment,226,1575,,300,50,100,3,60,14,31,61,336,98
248235,1300846,House,419,2000,,500,150,20,4,30,1,2,2,90,97
252381,50121,Apartment,129,1113,3892,450,100,28,3,28,3,20,48,323,92
256186,1344893,Apartment,120,840,3600,500,80,15,7,365,5,15,20,288,93
257149,504534,Apartment,129,890,3200,350,90,18,2,365,0,5,16,240,91
257915,569413,Apartment,700,3500,15000,300,80,40,2,365,22,45,75,345,87
261558,1372143,House,125,350,1250,250,55,55,2,31,29,59,89,89,98
262020,1374781,Apartment,161,900,3436,500,60,50,3,365,4,6,36,61,94
263871,1384456,Apartment,125,800,2700,500,150,50,7,365,18,29,59,334,98
267678,1403667,Apartment,145,,,300,95,0,3,365,0,0,0,10,98
268525,1179603,House,40,244,1080,100,30,20,18,90,28,58,88,178,
268620,1407948,House,72,,,,,0,1,760,30,60,90,365,
268849,1408673,Apartment,115,1150,3850,150,70,35,1,1120,8,22,43,65,98
277605,1448773,House,199,1277,4200,300,100,50,2,365,14,33,63,338,80
280698,50121,Apartment,199,1743,5572,500,110,28,3,28,11,25,51,326,94
283257,1475619,House,140,908,3632,350,60,30,3,59,7,31,35,185,98
284210,1480426,Apartment,145,630,2500,250,60,25,4,130,15,16,16,16,97
286460,1490560,House,55,,,,,0,14,1125,30,60,90,365,
289467,1448773,Apartment,251,1627,4000,300,120,60,2,365,14,32,62,337,93
297350,1533260,House,46,,,0,20,33,1,1124,25,48,58,333,95
300679,1505279,House,28,,,150,10,15,2,5,3,10,40,286,100
304910,1569097,Apartment,84,580,,,15,40,2,14,9,24,24,274,94
307615,1582716,Townhouse,75,550,1800,0,30,20,1,1125,5,24,38,199,93
307630,1582716,Townhouse,75,550,1900,,30,25,1,1125,0,0,0,0,93
309093,1349266,Apartment,295,1850,6245,500,145,15,2,1125,23,23,27,117,
310594,1597828,House,125,1100,,200,50,0,2,21,0,20,50,138,97
313648,1612516,Apartment,109,,3185,750,60,10,4,1125,0,0,19,294,93
315513,1533260,House,46,,,0,0,25,1,1125,23,53,83,358,96
317239,1628602,House,158,,,0,0,10,3,30,30,60,90,365,
317351,721348,Apartment,125,994,3750,250,40,20,7,365,14,44,74,349,89
323280,1608157,House,60,446,1775,200,28,35,1,730365,30,60,90,365,88
331605,569413,Serviced apartment,357,2400,9000,300,50,50,1,365,19,40,70,337,86
334891,1705701,Apartment,65,400,1450,,,0,1,365,30,60,90,365,93
344458,1710397,Apartment,174,1351,4410,,183,20,3,1125,6,21,23,284,87
353243,1789382,House,100,,,,,0,1,1125,30,60,90,365,
357740,1810523,House,60,,,,7,30,1,14,14,44,74,349,97
361613,1292150,House,109,,,,,20,1,7,28,58,88,363,94
363060,1835097,House,71,490,1960,,20,25,3,330,30,60,90,365,
363278,1835785,Cottage,71,,,,,0,1,1125,3,20,48,319,98
365832,1847357,Townhouse,329,850,2800,500,40,10,1,30,29,59,89,364,92
366848,1852215,Apartment,129,750,2900,,60,20,6,1125,0,4,34,34,97
376421,1892688,Bed and breakfast,174,1120,4500,,,0,1,1125,30,60,90,365,100
381690,1914257,Apartment,114,690,2436,0,65,10,1,1125,0,11,11,205,90
386252,381584,House,100,,,,,0,30,365,30,60,90,365,
394600,485320,Apartment,120,735,,,80,0,2,35,3,14,38,306,95
397285,1710397,Apartment,174,1260,4410,,183,20,3,1125,7,23,45,314,97
402105,1710397,Apartment,221,1568,4867,,233,20,3,1125,4,24,54,321,91
403580,2012806,House,86,560,2252,0,20,25,3,90,27,46,60,335,99
403876,2014143,Guesthouse,136,805,3000,200,60,0,3,90,0,1,8,122,98
406997,2027601,House,50,350,975,150,85,0,3,36,23,53,83,199,86
411059,1435566,Apartment,132,895,3763,180,50,25,2,21,7,16,33,282,96
414093,1710397,Apartment,246,1967,5931,150,233,20,3,1125,2,16,33,276,89
415776,2067875,Apartment,82,500,800,0,20,10,1,60,0,0,0,187,98
419490,2068905,Apartment,150,1000,3800,500,60,7,7,90,0,0,0,0,100
432113,2148869,Apartment,150,1300,5300,250,150,20,6,730,7,13,13,268,97
433779,2027601,House,46,300,900,150,85,0,3,1125,0,0,0,0,83
437892,2151046,House,48,,,,,0,21,1125,30,60,90,365,
438849,2180044,House,199,1050,3900,250,200,0,10,1125,0,0,0,0,85
438899,1777499,Loft,300,,,,75,25,2,90,25,53,78,353,95
448006,1710397,Apartment,174,1421,4715,,183,20,3,1125,0,0,0,212,89
448017,1710397,Apartment,174,1246,4258,,183,20,3,1125,10,30,50,271,95
448041,1710397,Apartment,174,1351,4410,,183,20,3,1125,2,8,23,271,85
449585,2232579,House,100,894,,,,0,1,1125,5,35,65,340,98
453940,2255480,House,40,,,,,0,1,1125,0,0,0,0,
456950,2271938,Apartment,291,2299,8998,500,80,0,5,1125,30,60,90,365,93
458168,1710397,Apartment,174,1351,4410,,183,20,3,1125,6,30,38,299,100
458182,1710397,Apartment,174,1260,4410,,183,20,3,1125,8,38,68,333,83
464528,760849,Apartment,325,2093,6972,400,,15,5,365,1,9,38,143,100
464612,2309055,House,54,,,0,0,23,4,365,29,59,89,364,95
466494,760849,House,505,2933,9576,400,,15,5,90,0,0,0,24,93
466732,760849,Apartment,285,1680,6048,400,,15,5,365,17,33,63,179,
467028,943036,House,96,,2400,150,0,15,2,60,15,38,65,310,91
467125,1583957,Apartment,115,700,2600,,30,15,4,1125,0,0,10,285,81
475855,2358976,Townhouse,53,,,,15,20,1,4,29,59,89,364,91
479281,760849,House,335,,,400,0,0,5,90,9,21,51,326,100
479333,760849,House,335,1925,6944,400,,0,5,365,7,16,46,162,88
479472,760849,Townhouse,305,1764,5852,400,,0,5,365,8,25,47,159,100
479736,223256,Apartment,120,1499,5999,600,100,30,2,1125,0,1,1,1,93
483719,9082,Guest suite,60,390,1100,,30,20,1,365,11,11,11,171,95
488819,1583912,Apartment,150,999,3900,200,50,0,4,30,0,0,0,0,100
491993,1710397,Apartment,174,1190,4106,,183,20,3,1125,1,1,10,250,90
492012,1710397,Apartment,195,1477,4867,,183,20,3,1125,4,4,4,4,90
492071,760849,Townhouse,375,2205,6972,400,,15,5,365,9,35,65,168,85
496502,2453853,House,30,240,,0,0,10,2,14,6,20,42,101,91
501143,2473007,House,120,410,1750,,20,20,2,365,29,59,89,364,100
506491,2496901,Townhouse,78,420,1500,,,30,2,60,0,0,6,281,98
508586,2255480,House,46,,,,,0,1,1125,30,60,90,365,
508590,2255480,House,40,,,,,0,1,1125,30,60,90,365,87
508594,2255480,House,40,,,,,0,1,1125,29,59,89,364,100
509326,2509807,House,114,,,,,0,1,1125,30,60,90,365,
513766,2531069,House,71,,,,,0,1,1125,30,60,90,365,
515607,2539832,House,30,,,,,30,2,90,21,51,81,356,92
519819,2558288,Apartment,168,1176,4180,700,132,25,2,59,15,37,67,247,90
524247,1710397,Apartment,221,1799,5779,,233,20,3,1125,7,7,24,269,86
524570,2579341,House,80,450,,,10,0,1,14,4,34,58,58,97
529300,2600707,Apartment,93,649,2677,1000,100,10,1,730,0,0,30,305,83
529321,2600707,Apartment,62,430,1764,500,100,0,1,730,0,0,7,282,83
529339,2600707,Apartment,180,,,500,0,0,3,14,30,60,90,360,88
531324,2581091,House,71,,,,,35,1,1126,29,59,89,179,100
532347,2616259,Guesthouse,72,322,1288,0,40,20,2,60,28,58,88,363,88
535813,2633177,Other,1650,,,,,0,1,1125,30,60,90,365,
542188,223256,Apartment,138,1299,6000,600,120,20,1,365,15,45,75,75,85
546849,2027601,House,40,325,850,150,55,0,3,1125,30,31,38,128,82
552797,2716860,Apartment,109,,2000,131,85,0,2,180,0,0,30,120,99
554087,2707723,House,125,1100,4000,0,0,0,2,14,29,59,89,179,99
556080,2734929,House,245,1500,6000,300,115,0,2,21,0,0,6,281,96
557900,1700056,Apartment,190,1400,5040,0,60,0,3,200,5,6,6,244,98
564734,1710397,Apartment,174,1211,4106,,183,20,3,1125,0,0,0,0,73
565813,2002047,Apartment,54,,,140,40,50,4,31,28,58,88,363,94
567486,2792235,House,75,525,2281,200,,0,6,182,28,58,88,363,100
567514,2792428,House,40,250,,,,0,1,365,15,45,75,75,91
567941,2794092,House,84,560,1950,0,15,20,1,120,7,37,67,342,90
571502,2812963,House,80,,,,,15,3,30,13,40,67,67,90
591772,2921365,Apartment,65,,,0,50,30,3,1125,8,17,35,145,86
592162,2922619,Apartment,161,,,,,30,4,150,16,30,30,30,90
607674,2558288,Bed and breakfast,168,900,2700,500,132,0,2,90,30,60,90,365,80
609602,2027601,House,50,350,1000,0,85,0,7,1125,7,7,7,7,87
