,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
1273,1274,107.0,0.0,USA,40000000.0,29374178.0,12093,188.0,100.0,394,55.0,3000.0,941.0,294.0,4565,5.1,Fair
3642,3643,152.0,0.0,USA,39752620.436387606,23807.0,2143,29.0,47.0,570,194.0,103.0,2.0,0.0,105,8.3,Excellent
744,745,91.0,0.0,USA,48000000.0,64505912.0,163130,1264.0,323.0,6000,0.0,11000.0,946.0,751.0,13654,5.0,Fair
5004,5005,109.0,0.0,USA,39752620.436387606,48468407.52680933,1578,23.0,52.0,91,26.0,26.0,6.0,3.0,38,6.9,Good
674,675,122.0,0.0,USA,65000000.0,52397389.0,132954,514.0,185.0,0,687.0,16000.0,1000.0,957.0,19764,5.9,Fair
2432,2433,91.0,0.0,USA,18000000.0,16702864.0,8023,49.0,54.0,591,38.0,17000.0,632.0,362.0,18711,5.2,Fair
1976,1977,104.0,2.0,France,17000000.0,48468407.52680933,5525,11.0,58.0,853,8.0,172.0,20.0,8.0,210,6.3,Good
1501,1502,121.0,1.0,Denmark,35000000.0,2221994.0,11747,99.0,50.0,561,55.0,1000.0,1000.0,918.0,3125,6.4,Good
5016,5017,90.0,1.0,USA,22000.0,48468407.52680933,114,3.0,1.0,200,138.0,370.0,184.0,138.0,841,3.3,Bad
3499,3500,99.0,2.0,USA,7000000.0,9166863.0,83182,247.0,281.0,16000,192.0,14000.0,343.0,292.0,14816,7.6,Good
5003,5004,78.0,0.0,USA,30000.0,243768.0,143,9.0,3.0,13,6.0,32.0,17.0,17.0,72,4.1,Fair
740,741,111.0,0.0,USA,60000000.0,71844424.0,33158,223.0,136.0,0,197.0,433.0,208.0,6.0,679,7.3,Good
1171,1172,91.0,1.0,USA,40000000.0,26404753.0,34203,169.0,127.0,19000,30.0,922.0,786.0,497.0,3301,5.3,Fair
1341,1342,100.0,1.0,USA,38000000.0,85570368.0,44885,107.0,103.0,478,0.0,12000.0,2000.0,1000.0,18291,5.1,Fair
4912,4913,86.0,0.0,USA,39752620.436387606,15542.0,6689,51.0,38.0,0,123.0,3000.0,985.0,782.0,7144,6.5,Good
4979,4980,70.0,1.0,USA,62000.0,48468407.52680933,4752,152.0,95.0,1000,2.0,24.0,16.0,6.0,52,4.1,Fair
681,682,101.0,0.0,USA,65000000.0,28045540.0,67707,202.0,136.0,0,4000.0,17000.0,14000.0,539.0,32232,6.1,Good
905,906,135.0,0.0,USA,90000000.0,33574332.0,101221,415.0,279.0,0,16000.0,23000.0,638.0,310.0,24468,7.1,Good
